Student Id,Quiz,Midterm,Assignment_1,Assignment_2,Assignment_3,Average attendance on class,Project,Presentation,Final_Exam_Marks,Total,Grade,Categories,CGPA
1,2.34,6.78,4.56,3.24,4.56,90,5.67,7.89,24,59.04,C+,Pass,10.58
2,8.17,12.43,2.87,1.87,2.89,96,2.34,2.34,29,61.91,B-,Pass,9.96
3,5.92,3.21,0.45,4.56,0.76,80,8.9,5.67,30,59.47,C+,Pass,9.68
4,1.45,9.87,3.12,2.34,3.01,88,1.23,1.23,33,55.25,C+,Pass,9.47
5,9.78,5.34,0.98,0.98,1.98,80,9.45,9.01,31,68.52,B,Distinction,9.35
6,3.21,11.09,4.32,3.76,4.32,95,3.78,3.45,35,68.93,B,Distinction,9.25
7,6.89,1.56,1.76,1.45,2.1,80,6.12,6.78,34,60.66,B-,Pass,9.25
8,0.76,8.23,3.89,4.01,0.54,100,0.98,0.98,32,51.39,C,Pass,9.22
9,4.53,2.9,0.54,2.1,3.67,90,4.56,4.56,36,58.86,C+,Pass,9.22
10,7.32,14.67,2.34,0.65,1.32,100,7.89,8.9,39,82.09,A,Excellent,9.21
11,2.11,4.12,4.01,3.43,4.01,90,2.01,2.01,33,54.7,C,Pass,9.2
12,8.98,10.78,1.67,1.21,2.45,90,8.43,7.12,5,45.64,C-,Pass,9.17
13,5.67,0.45,3.45,4.32,0.89,100,5.32,5.32,35,60.42,B-,Pass,9.15
14,1.23,7.12,0.21,2.76,3.21,90,1.76,1.76,33,51.05,C,Pass,9.07
15,9.01,13.89,2.98,0.54,1.76,97,9.01,9.45,36,82.64,A,Excellent,9.03
16,3.89,5.01,4.23,3.1,4.1,95,3.54,3.54,33,60.41,B-,Pass,9.02
17,6.45,11.76,1.09,1.98,2.34,95,6.78,6.01,31,67.41,B,Distinction,9.01
18,0.32,2.32,3.76,4.09,0.43,97,0.21,0.21,32,43.34,D+,Fail,9
19,4.09,8.99,0.32,2.56,3.89,70,4.89,4.89,23,52.63,C,Pass,8.99
20,7.76,3.65,2.01,0.32,1.09,70,7.45,8.43,34,64.71,B-,Pass,8.98
21,2.87,9.32,4.78,3.89,4.65,96,2.65,2.65,36,66.81,B,Distinction,8.97
22,8.54,4.98,1.43,1.09,2.56,80,8.21,7.56,38,72.37,B+,Distinction,8.91
23,5.01,10.65,3.1,4.45,0.21,98,5.43,5.43,9,43.28,D+,Fail,8.9
24,1.78,1.21,0.65,2.43,3.12,95,1.1,1.1,31,42.39,D+,Fail,8.85
25,9.45,6.87,2.56,0.76,1.54,85,9.67,9.67,34,74.52,B+,Distinction,8.82
26,3.12,12.54,4.89,3.12,4.78,97,3.32,3.32,36,71.09,B+,Distinction,8.81
27,6.78,3.98,1.32,1.65,2.01,95,6.01,6.45,34,62.2,B-,Pass,8.8
28,0.65,9.65,3.67,4.78,0.32,70,0.54,0.54,32,52.15,C,Pass,8.77
29,4.32,5.32,0.76,2.01,3.98,95,4.21,4.21,27,51.81,C,Pass,8.76
30,7.09,11,2.23,0.21,1.65,100,7.76,8.21,25,63.15,B-,Pass,8.75
31,2.76,2.67,4.56,3.54,4.23,90,2.87,2.87,28,51.5,C,Pass,8.74
32,8.43,8.34,1.87,1.32,2.76,95,8.09,7.34,34,72.15,B+,Distinction,8.74
33,5.2,14.01,3.54,4.23,0.12,90,5.09,5.09,36,73.28,B+,Distinction,8.73
34,1.87,4.78,0.09,2.87,3.54,100,1.45,1.45,39,55.05,C+,Pass,8.73
35,9.64,10.45,2.76,0.43,1.21,95,9.12,9.12,37,79.73,A-,Distinction,8.72
36,3.31,0.12,4.09,3.67,4.45,80,3.98,3.98,36,59.6,C+,Pass,8.72
37,6.98,6.89,1.98,1.54,2.87,99,6.45,6.22,35,67.93,B,Distinction,8.7
38,0.54,12.56,3.21,4.65,0.65,70,0.76,0.76,30,53.13,C,Pass,8.68
39,4.21,3.23,0.43,2.21,3.34,100,4.78,4.78,34,56.98,C+,Pass,8.68
40,7.88,9.9,2.1,0.89,1.1,98,7.34,7.01,38,74.22,B+,Distinction,8.68
41,2,5.57,4.45,3.21,4.21,100,2.22,2.22,30,53.88,C,Pass,8.67
42,6.45,4.78,4.21,3.89,3.45,97,7.32,8.23,22,60.33,B-,Pass,8.66
43,2.89,8.21,3.76,4.56,4.01,98,8.45,6,34,71.88,B+,Distinction,8.66
44,8.76,5.43,4.45,3.45,3.56,90,6.89,6.45,35,73.99,B+,Distinction,8.65
45,4.01,7.32,3.89,4.01,4.23,90,4.56,9.01,36,73.03,B+,Distinction,8.65
46,0.98,3.56,3.45,3.78,3.89,95,9.01,5.34,34,64.01,B-,Pass,8.62
47,7.32,6.89,4.12,4.32,4.32,95,5.23,8.9,31,72.1,B+,Distinction,8.59
48,2.1,2.45,3.56,3.12,3.67,90,8.67,4.76,32,60.33,B-,Pass,8.59
49,5.67,9.01,4.01,4.09,4.56,99,6.45,6.89,36,76.68,A-,Distinction,8.58
50,1.32,4.32,3.32,3.56,3.21,90,4.89,4.56,37,62.18,B-,Pass,8.58
51,9.54,8.76,3.12,4.45,4.45,90,7.12,9.34,36,82.78,A,Excellent,8.55
52,3.76,3.98,4.23,3.21,3.12,88,5.34,5.01,33,61.65,B-,Pass,8.54
53,0.54,6.1,3.65,4.65,4.09,95,8.9,7.89,30,65.82,B,Distinction,8.52
54,6.78,2.87,4.34,3.34,3.23,100,6.01,4.32,26,56.89,C+,Pass,8.52
55,2.21,9.45,3.98,4.01,4.65,100,4.76,6.78,29,64.84,B-,Pass,8.51
56,8.09,5.67,4.56,3.98,3.34,80,9.45,4.89,34,73.98,B+,Distinction,8.49
57,4.32,7.09,3.21,4.21,4.01,100,5.67,9.45,35,72.96,B+,Distinction,8.44
58,0.65,4.21,3.78,3.23,3.98,98,7.89,5.23,31,59.97,C+,Pass,8.44
59,7.01,8.34,4.09,4.78,4.21,85,6.23,7.56,39,81.22,A,Excellent,8.43
60,2.43,3.12,3.67,3.01,3.45,99,4.32,4.12,30,54.12,C,Pass,8.43
61,9.01,6.45,4.54,4.89,4.32,75,9.56,8.45,36,83.22,A,Excellent,8.43
62,3.1,2.98,3.01,3.9,3.12,85,5.98,6.01,38,66.1,B,Distinction,8.43
63,0.76,9.78,4.32,4.32,4.78,100,7.21,4.23,34,69.4,B,Distinction,8.41
64,5.43,5.01,3.23,3.12,3.01,95,4.1,9.12,32,65.02,B,Distinction,8.41
