CGPA,Attendance,Behaviour,Performance,CO,PO,Recommendation,Student_ID,Suggestions
7.9,90.0,1,Average,55,49.5,Maintain current performance,1,Practice regularly and improve weak areas
7.39,96.0,1,Average,55,49.5,Maintain current performance,2,Practice regularly and improve weak areas
8.02,80.0,1,Excellent,85,76.5,Keep up the good work,3,Excellent work! Try advanced learning
8.72,88.0,1,Excellent,85,76.5,Keep up the good work,4,Excellent work! Try advanced learning
7.31,80.0,1,Good,70,63.0,Maintain current performance,5,Keep consistency and aim higher
7.31,95.0,1,Average,55,49.5,Maintain current performance,6,Practice regularly and improve weak areas
8.76,80.0,1,Excellent,85,76.5,Keep up the good work,7,Excellent work! Try advanced learning
8.11,100.0,1,Excellent,85,76.5,Keep up the good work,8,Excellent work! Try advanced learning
7.12,90.0,1,Average,55,49.5,Maintain current performance,9,Practice regularly and improve weak areas
7.93,100.0,1,Average,55,49.5,Maintain current performance,10,Practice regularly and improve weak areas
7.13,90.0,1,Average,55,49.5,Maintain current performance,11,Practice regularly and improve weak areas
7.13,90.0,1,Average,55,49.5,Maintain current performance,12,Practice regularly and improve weak areas
7.69,100.0,1,Average,55,49.5,Maintain current performance,13,Practice regularly and improve weak areas
5.97,90.0,1,Average,55,49.5,Focus on weak subjects,14,Practice regularly and improve weak areas
6.12,97.0,1,Average,55,49.5,Maintain current performance,15,Practice regularly and improve weak areas
7.05,95.0,1,Average,55,49.5,Maintain current performance,16,Practice regularly and improve weak areas
6.69,95.0,1,Average,55,49.5,Maintain current performance,17,Practice regularly and improve weak areas
7.75,97.0,1,Average,55,49.5,Maintain current performance,18,Practice regularly and improve weak areas
6.77,70.0,1,Good,70,63.0,Maintain current performance,19,Keep consistency and aim higher
6.37,70.0,1,Average,55,49.5,Maintain current performance,20,Practice regularly and improve weak areas
8.67,96.0,1,Excellent,85,76.5,Keep up the good work,21,Excellent work! Try advanced learning
7.32,80.0,1,Good,70,63.0,Maintain current performance,22,Keep consistency and aim higher
7.55,98.0,1,Average,55,49.5,Maintain current performance,23,Practice regularly and improve weak areas
6.36,95.0,1,Average,55,49.5,Maintain current performance,24,Practice regularly and improve weak areas
7.06,85.0,1,Average,55,49.5,Maintain current performance,25,Practice regularly and improve weak areas
7.59,97.0,1,Average,55,49.5,Maintain current performance,26,Practice regularly and improve weak areas
6.58,95.0,1,Average,55,49.5,Maintain current performance,27,Practice regularly and improve weak areas
7.8,70.0,1,Good,70,63.0,Maintain current performance,28,Keep consistency and aim higher
7.02,95.0,1,Average,55,49.5,Maintain current performance,29,Practice regularly and improve weak areas
7.27,100.0,1,Average,55,49.5,Maintain current performance,30,Practice regularly and improve weak areas
7.02,90.0,1,Average,55,49.5,Maintain current performance,31,Practice regularly and improve weak areas
8.98,95.0,1,Excellent,85,76.5,Keep up the good work,32,Excellent work! Try advanced learning
7.49,90.0,1,Average,55,49.5,Maintain current performance,33,Practice regularly and improve weak areas
6.65,100.0,1,Average,55,49.5,Maintain current performance,34,Practice regularly and improve weak areas
8.16,95.0,1,Excellent,85,76.5,Keep up the good work,35,Excellent work! Try advanced learning
6.52,80.0,1,Good,70,63.0,Maintain current performance,36,Keep consistency and aim higher
7.67,99.0,1,Average,55,49.5,Maintain current performance,37,Practice regularly and improve weak areas
5.93,70.0,1,Average,55,49.5,Focus on weak subjects,38,Practice regularly and improve weak areas
6.44,100.0,1,Average,55,49.5,Maintain current performance,39,Practice regularly and improve weak areas
