Student_ID,University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you use University transportation?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,CGPA,Internships,Placed,Salary (INR LPA)
1,2018,Male,24,2016,BCSE,12,Yes,3,2,Offline,Yes,Yes,5,Intermediate,90,No,No,Yes,Software Development,2,Data Science,Single,Yes,Bachelor,No,No,75,25000,7.9,3,Yes,17.63
2,2021,Male,22,2020,BCSE,4,Yes,3,2,Online,Yes,Yes,3,Basic,96,Yes,No,No,Web development,2,Event management,Single,Yes,Family,No,No,36,100000,7.39,0,Yes,28.37
3,2020,Female,21,2019,BCSE,5,No,3,3,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,No,50,50000,8.02,2,Yes,8.95
4,2021,Male,20,2020,BCSE,4,Yes,1,3,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Programming,1,Artificial Intelligence,Single,No,Bachelor,Yes,No,36,62488,8.72,4,Yes,22.59
5,2021,Male,22,2019,BCSE,4,Yes,3,1,Online,Yes,Yes,2,Intermediate,80,No,No,Yes,Programming,1,Software,Relationship,No,Bachelor,Yes,No,36,50000,7.31,2,Yes,19.67
6,2021,Male,20,2020,BCSE,4,Yes,2,2,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,No,36,30000,7.31,2,Yes,22.96
7,2021,Male,22,2018,BCSE,4,Yes,2,4,Online,Yes,Yes,2,Intermediate,80,No,No,No,Web development,6,Software,Single,No,Bachelor,Yes,No,36,20000,8.76,0,No,0.0
8,2021,Female,22,2019,BCSE,4,Yes,2,2,Offline,Yes,Yes,2,Basic,100,Yes,No,Yes,Web development,1,NETWORKING,Single,No,Bachelor,No,No,35,32500,8.11,0,Yes,8.8
9,2021,Male,20,2020,BCSE,4,Yes,3,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,3,Software,Single,No,Bachelor,No,No,36,20000,7.12,0,Yes,20.95
10,2021,Female,22,2020,BCSE,4,Yes,5,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,1,Artificial Intelligence,Single,No,Family,No,No,36,25000,7.93,1,Yes,16.45
11,2021,Male,22,2019,BCSE,4,Yes,3,2,Online,Yes,Yes,3,Intermediate,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,No,36,50000,7.13,3,Yes,23.06
12,2021,Male,22,2019,BCSE,4,No,3,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,2,Software,Single,No,Bachelor,Yes,No,35,20000,7.13,1,No,0.0
13,2021,Female,22,2020,BCSE,4,No,1,1,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,No,36,50000,7.69,3,Yes,11.83
14,2021,Female,21,2019,BCSE,4,Yes,3,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Bachelor,No,No,36,24000,5.97,3,Yes,27.03
15,2021,Female,21,2018,BCSE,4,No,2,2,Offline,Yes,Yes,1,Basic,97,No,No,No,Programming,2,Software,Single,No,Family,No,No,36,70000,6.12,2,Yes,5.28
16,2021,Male,20,2020,BCSE,4,Yes,2,1,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,No,35,30000,7.05,2,Yes,24.79
17,2021,Male,22,2019,BCSE,4,Yes,5,3,Online,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Family,No,No,36,40000,6.69,3,Yes,26.26
18,2021,Female,21,2020,BCSE,4,Yes,5,1,Offline,Yes,Yes,2,Basic,97,No,No,No,Programming,2,Software,Single,No,Family,No,No,36,50000,7.75,3,Yes,25.07
19,2021,Male,21,2020,BCSE,4,Yes,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,2,Software,Relationship,No,Family,No,No,35,62488,6.77,1,No,0.0
20,2021,Male,19,2020,BCSE,4,No,3,2,Online,Yes,Yes,2,Intermediate,70,Yes,No,Yes,Web development,2,Software,Single,No,Family,No,No,36,20000,6.37,1,Yes,16.84
21,2021,Female,21,2019,BCSE,4,Yes,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development,1,Web development,Single,Yes,Bachelor,No,No,34,30000,8.67,2,Yes,14.84
22,2021,Male,21,2020,BCSE,4,Yes,3,3,Offline,Yes,Yes,2,Intermediate,80,Yes,No,No,Networking,2,NETWORKING,Single,No,Bachelor,No,No,36,50000,7.32,0,Yes,29.9
23,2021,Male,22,2020,BCSE,4,Yes,2,1,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,No,36,20000,7.55,3,Yes,9.19
24,2020,Female,21,2019,BCSE,4,No,6,3,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,3,Software,Single,Yes,Family,No,No,36,25000,6.36,1,Yes,17.77
25,2021,Male,21,2020,BCSE,4,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Content creation,2,Machine Learning,Single,Yes,Bachelor,Yes,No,35,35000,7.06,2,No,0.0
26,2021,Female,20,2020,BCSE,4,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,2,Software,Single,No,Family,No,No,39,50000,7.59,1,No,0.0
27,2021,Male,20,2020,BCSE,4,No,4,3,Offline,Yes,No,3,Basic,95,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,No,36,4000,6.58,3,Yes,21.11
28,2021,Male,19,2020,BCSE,4,Yes,2,1,Online,Yes,Yes,4,Intermediate,70,Yes,No,Yes,Programming,4,Artificial Intelligence,Single,Yes,Family,Yes,No,35,40000,7.8,3,No,0.0
29,2021,Male,21,2020,BCSE,4,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,Yes,No,36,8000,7.02,4,No,0.0
30,2021,Male,25,2020,BCSE,4,Yes,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,No,36,47972,7.27,0,No,0.0
31,2022,Male,20,2020,BCSE,2,Yes,3,3,Online,Yes,Yes,4,Intermediate,90,No,No,Yes,Programming,2,Machine Learning,Single,No,Family,No,No,11,30000,7.02,4,Yes,21.92
32,2022,Male,20,2020,BCSE,2,Yes,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,No,11,90000,8.98,2,No,0.0
33,2022,Male,21,2021,BCSE,2,No,5,5,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Bachelor,No,No,11,30000,7.49,1,Yes,8.51
34,2021,Male,23,2018,BCSE,4,Yes,8,4,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,No,36,37000,6.65,2,No,0.0
35,2022,Male,20,2020,BCSE,2,Yes,1,1,Offline,Yes,Yes,2,Basic,95,No,No,No,Programming,1,Software,Single,Yes,Family,No,No,11,35000,8.16,3,Yes,20.66
36,2022,Female,20,2020,BCSE,2,Yes,3,1,Online,Yes,No,1,Intermediate,80,No,No,No,Programming,2,Software,Single,Yes,Family,No,No,11,50000,6.52,4,Yes,25.1
37,2022,Female,21,2019,BCSE,2,Yes,2,1,Offline,Yes,Yes,3,Basic,99,No,No,Yes,Web development,2,Artificial Intelligence,Single,No,Bachelor,No,No,11,30000,7.67,4,No,0.0
38,2019,Male,24,2016,BCSE,11,No,2,2,Online,Yes,Yes,5,Basic,70,Yes,No,Yes,Programming,4,Software,Single,No,Bachelor,Yes,No,126,20000,5.93,4,Yes,4.35
39,2022,Female,20,2020,BCSE,2,Yes,4,2,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,11,80000,6.44,2,No,0.0
40,2021,Female,22,2019,BCSE,2,Yes,5,2,Offline,Yes,Yes,3,Advance,98,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,11,40000,7.66,3,No,0.0
41,2022,Male,20,2020,BCSE,2,Yes,5,5,Offline,Yes,Yes,6,Basic,100,No,No,Yes,Programming,3,Machine Learning,Single,No,Bachelor,No,No,11,20000,8.09,1,Yes,27.61
42,2022,Male,21,2020,BCSE,2,No,3,2,Offline,Yes,Yes,2,Basic,97,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,11,10000,7.64,1,Yes,3.8
43,2022,Male,21,2020,BCSE,2,Yes,3,3,Offline,Yes,Yes,1,Basic,98,No,No,Yes,Programming,4,Software,Single,No,Bachelor,No,No,11,10000,7.41,2,Yes,12.61
44,2022,Male,19,2020,BCSE,2,Yes,5,3,Online,Yes,Yes,6,Intermediate,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,No,11,40000,7.26,4,Yes,3.43
45,2022,Male,19,2020,BCSE,2,Yes,4,2,Online,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,No,11,40000,6.32,0,Yes,5.08
46,2022,Male,19,2020,BCSE,2,Yes,4,2,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,No,11,25000,6.92,2,No,0.0
47,2022,Male,20,2020,BCSE,2,Yes,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,No,11,20000,7.13,2,Yes,27.6
48,2022,Male,19,2020,BCSE,2,Yes,1,1,Online,Yes,Yes,1,Intermediate,90,No,No,No,Programming,2,Software,Single,Yes,Family,No,No,11,22000,8.35,3,Yes,12.58
49,2021,Female,20,2020,BCSE,4,No,2,2,Offline,Yes,Yes,3,Basic,99,No,No,No,Programming,1,Software,Single,No,Family,No,No,36,200000,7.77,1,No,0.0
50,2022,Male,20,2020,BCSE,2,Yes,7,2,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,2,Software,Single,No,Family,Yes,No,11,39000,6.09,2,Yes,14.47
51,2022,Male,21,2020,BCSE,2,Yes,2,1,Online,Yes,Yes,3,Intermediate,90,No,No,No,Programming,1,Machine Learning,Single,No,Family,No,No,11,30000,7.76,2,Yes,8.81
52,2022,Male,21,2020,BCSE,2,Yes,2,2,Offline,Yes,Yes,2,Intermediate,88,No,No,No,Programming,2,Software,Single,Yes,Family,No,No,11,20000,7.19,4,No,0.0
53,2022,Male,21,2020,BCSE,2,Yes,5,2,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,No,11,30000,6.96,4,Yes,19.12
54,2022,Male,20,2020,BCSE,2,Yes,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Software,Single,No,Family,No,No,12,60000,7.99,0,No,0.0
55,2022,Male,20,2020,BCSE,2,Yes,2,2,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,No,11,40000,8.32,3,No,0.0
56,2022,Male,22,2020,BCSE,2,No,1,1,Online,Yes,Yes,7,Basic,80,No,No,Yes,Networking,2,Software,Single,Yes,Family,Yes,No,11,32000,8.25,0,No,0.0
57,2021,Male,20,2020,BCSE,2,Yes,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Artificial Intelligence,Single,No,Family,No,No,11,30000,6.83,4,Yes,19.06
58,2021,Female,20,2020,BCSE,2,Yes,1,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Programming,2,Software,Single,Yes,Family,No,No,11,40000,7.25,1,Yes,13.05
59,2022,Male,20,2020,BCSE,2,Yes,4,1,Online,Yes,Yes,3,Intermediate,85,No,No,Yes,Web development,2,Software,Single,No,Family,No,No,11,30000,7.77,4,Yes,11.99
60,2021,Female,20,2020,BCSE,2,Yes,2,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,Software,Single,Yes,Family,No,No,11,40000,8.28,3,No,0.0
61,2022,Male,20,2020,BCSE,2,Yes,1,1,Offline,Yes,Yes,4,Intermediate,75,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,11,35000,7.12,4,No,0.0
62,2021,Male,21,2020,BCSE,4,Yes,3,2,Offline,Yes,Yes,4,Intermediate,85,No,No,Yes,Web development,2,Artificial Intelligence,Relationship,No,Bachelor,No,No,36,40000,7.35,3,Yes,26.89
63,2019,Male,23,2017,BCSE,11,No,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,No,126,15000,6.61,3,Yes,13.35
64,2020,Male,21,2019,BCSE,8,Yes,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,No,80,23000,6.54,3,Yes,16.32
65,2020,Male,21,2019,BCSE,8,No,3,2,Offline,Yes,Yes,2,Advance,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,No,88,62488,8.15,3,Yes,10.65
66,2018,Male,24,2016,BCSE,12,Yes,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Bachelor,No,No,132,350000,8.58,3,No,0.0
67,2020,Male,22,2019,BCSE,8,No,3,2,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,Other,2,Machine Learning,Single,No,Bachelor,No,No,88,50000,7.44,1,Yes,24.24
68,2022,Female,21,2020,BCSE,2,Yes,3,1,Online,Yes,Yes,2,Advance,95,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,11,40000,8.3,0,No,0.0
69,2022,Male,20,2020,BCSE,2,No,3,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,5,Software,Relationship,No,Bachelor,No,No,11,35000,7.79,2,No,0.0
70,2020,Female,21,2019,BCSE,8,Yes,3,2,Offline,Yes,Yes,2,Basic,80,No,No,Yes,Programming,2,Software,Single,No,Family,No,No,88,35000,6.98,0,Yes,13.73
71,2022,Male,21,2020,BCSE,2,No,8,2,Online,Yes,Yes,1,Basic,100,No,No,Yes,Web development,2,programming,Single,Yes,Bachelor,No,No,11,30000,7.79,3,Yes,16.87
72,2020,Male,23,2018,BCSE,8,Yes,2,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,No,88,40000,8.73,1,Yes,9.84
73,2022,Male,20,2020,BCSE,2,Yes,4,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,No,11,35000,7.47,4,Yes,29.67
